type,startTime,endTime,value
Steps,2024-10-18T10:44:07.000Z,2024-10-18T10:45:04.000Z,113
Steps,2024-10-18T10:45:04.000Z,2024-10-18T10:45:31.000Z,15
Steps,2024-10-18T10:45:31.000Z,2024-10-18T10:46:27.000Z,8
Steps,2024-10-18T10:46:27.000Z,2024-10-18T10:47:26.000Z,21
Steps,2024-10-18T10:47:26.000Z,2024-10-18T10:47:36.000Z,17
Steps,2024-10-18T10:49:03.000Z,2024-10-18T10:50:03.000Z,26
Steps,2024-10-18T10:50:28.000Z,2024-10-18T10:51:28.000Z,16
Steps,2024-10-18T10:51:28.000Z,2024-10-18T10:52:05.000Z,38
Steps,2024-10-18T10:58:41.000Z,2024-10-18T10:59:41.000Z,17
Steps,2024-10-18T11:00:08.000Z,2024-10-18T11:01:08.000Z,15
Steps,2024-10-18T11:10:29.000Z,2024-10-18T11:11:29.000Z,22
Steps,2024-10-18T11:11:29.000Z,2024-10-18T11:13:52.000Z,133
Steps,2024-10-18T11:13:52.000Z,2024-10-18T11:14:35.000Z,67
Steps,2024-10-18T11:14:35.000Z,2024-10-18T11:14:53.000Z,30
Steps,2024-10-18T11:14:53.000Z,2024-10-18T11:15:26.000Z,42
Steps,2024-10-18T11:15:26.000Z,2024-10-18T11:16:10.000Z,75
Steps,2024-10-18T11:16:10.000Z,2024-10-18T11:16:32.000Z,41
Steps,2024-10-18T11:16:32.000Z,2024-10-18T11:17:08.000Z,59
Steps,2024-10-18T11:17:08.000Z,2024-10-18T11:17:51.000Z,9
Steps,2024-10-18T12:02:06.000Z,2024-10-18T12:02:48.000Z,21
Steps,2024-10-18T12:02:48.000Z,2024-10-18T12:03:49.000Z,111
Steps,2024-10-18T12:03:49.000Z,2024-10-18T12:04:49.000Z,113
Steps,2024-10-18T12:04:49.000Z,2024-10-18T12:05:49.000Z,114
Steps,2024-10-18T12:05:49.000Z,2024-10-18T12:06:50.000Z,114
Steps,2024-10-18T12:06:50.000Z,2024-10-18T12:07:50.000Z,114
Steps,2024-10-18T12:07:50.000Z,2024-10-18T12:08:42.000Z,103
Steps,2024-10-18T12:08:42.000Z,2024-10-18T12:09:51.000Z,131
Steps,2024-10-18T12:09:51.000Z,2024-10-18T12:11:27.000Z,149
Steps,2024-10-18T12:11:27.000Z,2024-10-18T12:12:11.000Z,84
Steps,2024-10-18T12:12:11.000Z,2024-10-18T12:12:26.000Z,27
Steps,2024-10-18T12:12:26.000Z,2024-10-18T12:12:57.000Z,59
Steps,2024-10-18T12:12:57.000Z,2024-10-18T12:14:03.000Z,126
Steps,2024-10-18T12:14:03.000Z,2024-10-18T12:15:18.000Z,141
Steps,2024-10-18T12:15:18.000Z,2024-10-18T12:15:44.000Z,37
Steps,2024-10-18T12:15:44.000Z,2024-10-18T12:16:03.000Z,8
Steps,2024-10-18T12:16:03.000Z,2024-10-18T12:16:43.000Z,17
Steps,2024-10-18T12:19:07.000Z,2024-10-18T12:20:07.000Z,20
Steps,2024-10-18T12:20:07.000Z,2024-10-18T12:20:34.000Z,22
Steps,2024-10-18T12:20:34.000Z,2024-10-18T12:21:02.000Z,6
Steps,2024-10-18T12:21:02.000Z,2024-10-18T12:21:25.000Z,10
Steps,2024-10-18T12:22:33.000Z,2024-10-18T12:23:33.000Z,9
Steps,2024-10-18T12:33:49.000Z,2024-10-18T12:34:49.000Z,6
Steps,2024-10-18T13:18:09.000Z,2024-10-18T13:19:09.000Z,16
Steps,2024-10-18T15:09:21.000Z,2024-10-18T15:10:21.000Z,6
Steps,2024-10-18T17:21:15.000Z,2024-10-18T17:22:15.000Z,9
Steps,2024-10-18T18:38:25.000Z,2024-10-18T18:39:25.000Z,30
Steps,2024-10-18T18:51:25.000Z,2024-10-18T18:52:25.000Z,11
Steps,2024-10-19T00:41:44.000Z,2024-10-19T00:42:44.000Z,7
Steps,2024-10-19T04:36:11.000Z,2024-10-19T04:37:11.000Z,7
Steps,2024-10-19T04:58:33.000Z,2024-10-19T04:59:33.000Z,9
Steps,2024-10-19T12:31:33.000Z,2024-10-19T12:32:33.000Z,16
Steps,2024-10-19T15:33:10.000Z,2024-10-19T15:34:10.000Z,7
Steps,2024-10-19T15:44:35.000Z,2024-10-19T15:45:35.000Z,21
Steps,2024-10-19T16:36:10.000Z,2024-10-19T16:40:12.000Z,121
Steps,2024-10-19T17:02:21.000Z,2024-10-19T17:03:21.000Z,7
Steps,2024-10-19T17:09:00.000Z,2024-10-19T17:10:00.000Z,28
Steps,2024-10-20T02:58:06.000Z,2024-10-20T02:59:36.000Z,45
Steps,2024-10-20T02:59:36.000Z,2024-10-20T03:00:02.000Z,33
Steps,2024-10-20T03:00:02.000Z,2024-10-20T03:00:31.000Z,17
Steps,2024-10-20T03:00:31.000Z,2024-10-20T03:00:39.000Z,6
Steps,2024-10-20T03:00:39.000Z,2024-10-20T03:01:14.000Z,12
Steps,2024-10-20T03:01:14.000Z,2024-10-20T03:01:29.000Z,16
Steps,2024-10-20T03:01:29.000Z,2024-10-20T03:02:05.000Z,29
Steps,2024-10-20T03:02:05.000Z,2024-10-20T03:02:41.000Z,36
Steps,2024-10-20T03:02:41.000Z,2024-10-20T03:03:23.000Z,29
Steps,2024-10-20T03:03:23.000Z,2024-10-20T03:03:31.000Z,11
Steps,2024-10-20T03:03:31.000Z,2024-10-20T03:04:12.000Z,31
Steps,2024-10-20T03:04:12.000Z,2024-10-20T03:04:56.000Z,15
Steps,2024-10-20T03:04:56.000Z,2024-10-20T03:05:53.000Z,50
Steps,2024-10-20T03:05:53.000Z,2024-10-20T03:06:03.000Z,11
Steps,2024-10-20T03:06:03.000Z,2024-10-20T03:06:52.000Z,64
Steps,2024-10-20T03:06:52.000Z,2024-10-20T03:06:59.000Z,6
Steps,2024-10-20T03:06:59.000Z,2024-10-20T03:07:53.000Z,43
Steps,2024-10-20T03:07:53.000Z,2024-10-20T03:08:01.000Z,9
Steps,2024-10-20T03:08:01.000Z,2024-10-20T03:08:49.000Z,37
Steps,2024-10-20T03:08:49.000Z,2024-10-20T03:09:02.000Z,7
Steps,2024-10-20T03:09:02.000Z,2024-10-20T03:09:20.000Z,15
Steps,2024-10-20T03:09:20.000Z,2024-10-20T03:10:11.000Z,13
Steps,2024-10-20T03:10:11.000Z,2024-10-20T03:11:05.000Z,68
Steps,2024-10-20T03:11:05.000Z,2024-10-20T03:11:11.000Z,7
Steps,2024-10-20T03:11:11.000Z,2024-10-20T03:11:39.000Z,39
Steps,2024-10-20T03:13:45.000Z,2024-10-20T03:14:47.000Z,31
Steps,2024-10-20T03:14:47.000Z,2024-10-20T03:14:51.000Z,4
Steps,2024-10-20T03:15:22.000Z,2024-10-20T03:16:22.000Z,19
Steps,2024-10-20T06:45:13.000Z,2024-10-20T06:46:13.000Z,9
Steps,2024-10-20T06:49:50.000Z,2024-10-20T06:50:50.000Z,7
Steps,2024-10-20T06:53:56.000Z,2024-10-20T06:54:56.000Z,12
Steps,2024-10-20T07:53:33.000Z,2024-10-20T07:54:33.000Z,27
Steps,2024-10-20T07:55:26.000Z,2024-10-20T07:56:26.000Z,21
Steps,2024-10-20T07:56:35.000Z,2024-10-20T07:57:39.000Z,32
Steps,2024-10-20T07:57:39.000Z,2024-10-20T07:57:50.000Z,9
Steps,2024-10-20T08:36:43.000Z,2024-10-20T08:37:43.000Z,10
Steps,2024-10-20T08:42:42.000Z,2024-10-20T08:43:42.000Z,26
Steps,2024-10-20T12:39:10.000Z,2024-10-20T12:42:34.000Z,102
Steps,2024-10-20T12:42:34.000Z,2024-10-20T12:43:41.000Z,100
Steps,2024-10-20T12:43:41.000Z,2024-10-20T12:44:42.000Z,87
Steps,2024-10-20T12:44:42.000Z,2024-10-20T12:45:43.000Z,96
Steps,2024-10-20T12:45:43.000Z,2024-10-20T12:45:59.000Z,17
Steps,2024-10-20T13:49:14.000Z,2024-10-20T13:50:14.000Z,11
Steps,2024-10-20T16:21:33.000Z,2024-10-20T16:22:33.000Z,16
Steps,2024-10-20T16:22:33.000Z,2024-10-20T16:22:35.000Z,3
Steps,2024-10-20T16:22:35.000Z,2024-10-20T16:23:28.000Z,15
Steps,2024-10-20T16:23:28.000Z,2024-10-20T16:24:24.000Z,20
Steps,2024-10-20T16:36:37.000Z,2024-10-20T16:37:37.000Z,8
Steps,2024-10-20T16:38:40.000Z,2024-10-20T16:39:40.000Z,6
Steps,2024-10-20T18:01:00.000Z,2024-10-20T18:02:00.000Z,30
Steps,2024-10-20T18:04:24.000Z,2024-10-20T18:05:24.000Z,9
Steps,2024-10-21T01:28:30.000Z,2024-10-21T01:29:50.000Z,39
Steps,2024-10-21T01:29:50.000Z,2024-10-21T01:30:31.000Z,70
Steps,2024-10-21T01:30:31.000Z,2024-10-21T01:30:51.000Z,38
Steps,2024-10-21T01:30:51.000Z,2024-10-21T01:31:44.000Z,102
Steps,2024-10-21T01:31:44.000Z,2024-10-21T01:33:09.000Z,160
Steps,2024-10-21T01:33:09.000Z,2024-10-21T01:33:28.000Z,38
Steps,2024-10-21T01:33:28.000Z,2024-10-21T01:34:14.000Z,89
Steps,2024-10-21T01:34:14.000Z,2024-10-21T01:34:18.000Z,8
Steps,2024-10-21T01:34:18.000Z,2024-10-21T01:34:55.000Z,70
Steps,2024-10-21T01:34:55.000Z,2024-10-21T01:35:29.000Z,68
Steps,2024-10-21T01:35:29.000Z,2024-10-21T01:36:03.000Z,66
Steps,2024-10-21T01:36:03.000Z,2024-10-21T01:36:22.000Z,38
Steps,2024-10-21T01:36:22.000Z,2024-10-21T01:37:27.000Z,123
Steps,2024-10-21T01:37:27.000Z,2024-10-21T01:37:55.000Z,55
Steps,2024-10-21T01:37:55.000Z,2024-10-21T01:38:23.000Z,54
Steps,2024-10-21T01:38:23.000Z,2024-10-21T01:39:17.000Z,105
Steps,2024-10-21T01:39:17.000Z,2024-10-21T01:39:45.000Z,54
Steps,2024-10-21T01:39:45.000Z,2024-10-21T01:40:50.000Z,122
Steps,2024-10-21T01:40:50.000Z,2024-10-21T01:40:53.000Z,4
Steps,2024-10-21T01:40:53.000Z,2024-10-21T01:41:44.000Z,85
Steps,2024-10-21T01:41:44.000Z,2024-10-21T01:41:53.000Z,10
Steps,2024-10-21T01:41:53.000Z,2024-10-21T01:42:21.000Z,25
Steps,2024-10-21T01:42:21.000Z,2024-10-21T01:42:44.000Z,24
Steps,2024-10-21T01:42:44.000Z,2024-10-21T01:43:46.000Z,43
Steps,2024-10-21T01:43:46.000Z,2024-10-21T01:44:37.000Z,8
Steps,2024-10-21T02:19:54.000Z,2024-10-21T02:19:57.000Z,1
Steps,2024-10-21T02:29:05.000Z,2024-10-21T02:29:52.000Z,23
Steps,2024-10-21T02:29:52.000Z,2024-10-21T02:30:29.000Z,64
Steps,2024-10-21T02:30:29.000Z,2024-10-21T02:30:52.000Z,41
Steps,2024-10-21T02:30:52.000Z,2024-10-21T02:31:29.000Z,62
Steps,2024-10-21T02:31:29.000Z,2024-10-21T02:31:53.000Z,42
Steps,2024-10-21T02:31:53.000Z,2024-10-21T02:32:30.000Z,70
Steps,2024-10-21T02:32:30.000Z,2024-10-21T02:32:53.000Z,46
Steps,2024-10-21T02:32:53.000Z,2024-10-21T02:33:30.000Z,66
Steps,2024-10-21T02:33:30.000Z,2024-10-21T02:33:53.000Z,44
Steps,2024-10-21T02:33:53.000Z,2024-10-21T02:34:28.000Z,47
Steps,2024-10-21T02:34:28.000Z,2024-10-21T02:35:13.000Z,7
Steps,2024-10-21T02:36:46.000Z,2024-10-21T02:37:46.000Z,9
Steps,2024-10-21T02:37:46.000Z,2024-10-21T02:39:06.000Z,61
Steps,2024-10-21T02:39:06.000Z,2024-10-21T02:39:15.000Z,11
Steps,2024-10-21T02:39:15.000Z,2024-10-21T02:39:51.000Z,33
Steps,2024-10-21T02:39:51.000Z,2024-10-21T02:40:23.000Z,8
Steps,2024-10-21T02:40:23.000Z,2024-10-21T02:41:20.000Z,12
Steps,2024-10-21T02:41:20.000Z,2024-10-21T02:41:36.000Z,17
Steps,2024-10-21T02:41:36.000Z,2024-10-21T02:42:27.000Z,43
Steps,2024-10-21T02:42:27.000Z,2024-10-21T02:43:02.000Z,28
Steps,2024-10-21T02:43:02.000Z,2024-10-21T02:43:16.000Z,18
Steps,2024-10-21T02:44:31.000Z,2024-10-21T02:45:43.000Z,36
Steps,2024-10-21T02:45:51.000Z,2024-10-21T02:47:07.000Z,38
Steps,2024-10-21T02:47:13.000Z,2024-10-21T02:48:13.000Z,19
Steps,2024-10-21T02:49:14.000Z,2024-10-21T02:52:30.000Z,98
Steps,2024-10-21T02:52:30.000Z,2024-10-21T02:53:30.000Z,107
Steps,2024-10-21T02:53:30.000Z,2024-10-21T02:54:31.000Z,111
Steps,2024-10-21T02:54:31.000Z,2024-10-21T02:55:31.000Z,107
Steps,2024-10-21T02:55:31.000Z,2024-10-21T02:56:31.000Z,102
Steps,2024-10-21T02:56:31.000Z,2024-10-21T02:57:32.000Z,104
Steps,2024-10-21T02:57:32.000Z,2024-10-21T02:58:32.000Z,111
Steps,2024-10-21T02:58:32.000Z,2024-10-21T02:59:32.000Z,104
Steps,2024-10-21T02:59:32.000Z,2024-10-21T03:00:32.000Z,107
Steps,2024-10-21T03:00:32.000Z,2024-10-21T03:01:20.000Z,80
Steps,2024-10-21T03:01:20.000Z,2024-10-21T03:02:55.000Z,90
Steps,2024-10-21T03:02:55.000Z,2024-10-21T03:03:51.000Z,97
Steps,2024-10-21T03:08:33.000Z,2024-10-21T03:09:33.000Z,17
Steps,2024-10-21T03:09:33.000Z,2024-10-21T03:11:15.000Z,94
Steps,2024-10-21T03:48:06.000Z,2024-10-21T03:50:00.000Z,57
Steps,2024-10-21T03:51:57.000Z,2024-10-21T03:52:57.000Z,22
Steps,2024-10-21T03:52:57.000Z,2024-10-21T03:53:24.000Z,50
Steps,2024-10-21T04:05:00.000Z,2024-10-21T04:06:40.000Z,50
Steps,2024-10-21T04:06:40.000Z,2024-10-21T04:08:48.000Z,96
Steps,2024-10-21T04:10:43.000Z,2024-10-21T04:11:43.000Z,26
Steps,2024-10-21T04:11:43.000Z,2024-10-21T04:12:58.000Z,100
Steps,2024-10-21T04:13:09.000Z,2024-10-21T04:14:09.000Z,22
Steps,2024-10-21T04:23:51.000Z,2024-10-21T04:24:51.000Z,6
Steps,2024-10-21T05:07:22.000Z,2024-10-21T05:09:42.000Z,70
Steps,2024-10-21T05:10:40.000Z,2024-10-21T05:12:42.000Z,61
Steps,2024-10-21T05:40:19.000Z,2024-10-21T05:45:13.000Z,147
Steps,2024-10-21T05:45:13.000Z,2024-10-21T05:46:09.000Z,81
Steps,2024-10-21T05:46:09.000Z,2024-10-21T05:47:34.000Z,71
Steps,2024-10-21T05:47:34.000Z,2024-10-21T05:47:36.000Z,6
Steps,2024-10-21T05:47:36.000Z,2024-10-21T05:48:41.000Z,100
Steps,2024-10-21T05:48:41.000Z,2024-10-21T05:49:04.000Z,42
Steps,2024-10-21T05:49:04.000Z,2024-10-21T05:49:55.000Z,36
Steps,2024-10-21T05:49:55.000Z,2024-10-21T05:50:04.000Z,18
Steps,2024-10-21T05:50:37.000Z,2024-10-21T05:52:57.000Z,70
Steps,2024-10-21T05:54:02.000Z,2024-10-21T05:55:02.000Z,7
Steps,2024-10-21T06:08:03.000Z,2024-10-21T06:12:29.000Z,133
Steps,2024-10-21T06:12:29.000Z,2024-10-21T06:12:52.000Z,25
Steps,2024-10-21T06:14:05.000Z,2024-10-21T06:15:05.000Z,7
Steps,2024-10-21T06:15:05.000Z,2024-10-21T06:15:23.000Z,36
Steps,2024-10-21T06:15:23.000Z,2024-10-21T06:16:25.000Z,109
Steps,2024-10-21T06:16:25.000Z,2024-10-21T06:16:57.000Z,46
Steps,2024-10-21T06:16:57.000Z,2024-10-21T06:17:15.000Z,27
Steps,2024-10-21T06:17:15.000Z,2024-10-21T06:18:10.000Z,14
Steps,2024-10-21T06:18:10.000Z,2024-10-21T06:18:29.000Z,34
Steps,2024-10-21T06:35:08.000Z,2024-10-21T06:36:50.000Z,51
Steps,2024-10-21T06:52:28.000Z,2024-10-21T06:54:56.000Z,74
Steps,2024-10-21T06:54:56.000Z,2024-10-21T06:55:14.000Z,19
Steps,2024-10-21T06:55:14.000Z,2024-10-21T06:57:13.000Z,94
