type,startTime,endTime,value
HeartRate,2024-10-18T05:50:00.000Z,2024-10-18T05:50:00.000Z,"[{'beatsPerMinute': 67, 'time': '2024-10-18T05:50:00.000Z'}]"
HeartRate,2024-10-18T06:03:00.000Z,2024-10-18T06:03:00.000Z,"[{'beatsPerMinute': 70, 'time': '2024-10-18T06:03:00.000Z'}]"
HeartRate,2024-10-18T06:08:00.000Z,2024-10-18T06:08:00.000Z,"[{'beatsPerMinute': 68, 'time': '2024-10-18T06:08:00.000Z'}]"
HeartRate,2024-10-18T06:13:00.000Z,2024-10-18T06:13:00.000Z,"[{'beatsPerMinute': 79, 'time': '2024-10-18T06:13:00.000Z'}]"
HeartRate,2024-10-18T06:19:00.000Z,2024-10-18T06:19:00.000Z,"[{'beatsPerMinute': 69, 'time': '2024-10-18T06:19:00.000Z'}]"
HeartRate,2024-10-18T06:24:00.000Z,2024-10-18T06:24:00.000Z,"[{'beatsPerMinute': 65, 'time': '2024-10-18T06:24:00.000Z'}]"
HeartRate,2024-10-18T06:29:00.000Z,2024-10-18T06:29:00.000Z,"[{'beatsPerMinute': 60, 'time': '2024-10-18T06:29:00.000Z'}]"
HeartRate,2024-10-18T06:35:00.000Z,2024-10-18T06:35:00.000Z,"[{'beatsPerMinute': 75, 'time': '2024-10-18T06:35:00.000Z'}]"
HeartRate,2024-10-18T06:41:00.000Z,2024-10-18T06:41:00.000Z,"[{'beatsPerMinute': 88, 'time': '2024-10-18T06:41:00.000Z'}]"
HeartRate,2024-10-18T06:46:00.000Z,2024-10-18T06:46:00.000Z,"[{'beatsPerMinute': 81, 'time': '2024-10-18T06:46:00.000Z'}]"
HeartRate,2024-10-18T07:10:00.000Z,2024-10-18T07:10:00.000Z,"[{'beatsPerMinute': 69, 'time': '2024-10-18T07:10:00.000Z'}]"
HeartRate,2024-10-18T07:15:00.000Z,2024-10-18T07:15:00.000Z,"[{'beatsPerMinute': 57, 'time': '2024-10-18T07:15:00.000Z'}]"
HeartRate,2024-10-18T07:18:00.000Z,2024-10-18T07:18:00.000Z,"[{'beatsPerMinute': 67, 'time': '2024-10-18T07:18:00.000Z'}]"
HeartRate,2024-10-18T07:20:00.000Z,2024-10-18T07:20:00.000Z,"[{'beatsPerMinute': 65, 'time': '2024-10-18T07:20:00.000Z'}]"
HeartRate,2024-10-18T07:22:00.000Z,2024-10-18T07:22:00.000Z,"[{'beatsPerMinute': 65, 'time': '2024-10-18T07:22:00.000Z'}]"
HeartRate,2024-10-18T07:26:00.000Z,2024-10-18T07:26:00.000Z,"[{'beatsPerMinute': 77, 'time': '2024-10-18T07:26:00.000Z'}]"
HeartRate,2024-10-18T07:31:00.000Z,2024-10-18T07:31:00.000Z,"[{'beatsPerMinute': 82, 'time': '2024-10-18T07:31:00.000Z'}]"
HeartRate,2024-10-18T07:36:00.000Z,2024-10-18T07:36:00.000Z,"[{'beatsPerMinute': 60, 'time': '2024-10-18T07:36:00.000Z'}]"
HeartRate,2024-10-18T07:41:00.000Z,2024-10-18T07:41:00.000Z,"[{'beatsPerMinute': 74, 'time': '2024-10-18T07:41:00.000Z'}]"
HeartRate,2024-10-18T07:47:00.000Z,2024-10-18T07:47:00.000Z,"[{'beatsPerMinute': 77, 'time': '2024-10-18T07:47:00.000Z'}]"
HeartRate,2024-10-18T07:52:00.000Z,2024-10-18T07:52:00.000Z,"[{'beatsPerMinute': 50, 'time': '2024-10-18T07:52:00.000Z'}]"
HeartRate,2024-10-18T07:57:00.000Z,2024-10-18T07:57:00.000Z,"[{'beatsPerMinute': 83, 'time': '2024-10-18T07:57:00.000Z'}]"
HeartRate,2024-10-18T08:05:00.000Z,2024-10-18T08:05:00.000Z,"[{'beatsPerMinute': 71, 'time': '2024-10-18T08:05:00.000Z'}]"
HeartRate,2024-10-18T08:06:00.000Z,2024-10-18T08:06:00.000Z,"[{'beatsPerMinute': 73, 'time': '2024-10-18T08:06:00.000Z'}]"
HeartRate,2024-10-18T08:12:00.000Z,2024-10-18T08:12:00.000Z,"[{'beatsPerMinute': 69, 'time': '2024-10-18T08:12:00.000Z'}]"
HeartRate,2024-10-18T08:13:00.000Z,2024-10-18T08:13:00.000Z,"[{'beatsPerMinute': 76, 'time': '2024-10-18T08:13:00.000Z'}]"
HeartRate,2024-10-18T08:15:00.000Z,2024-10-18T08:15:00.000Z,"[{'beatsPerMinute': 71, 'time': '2024-10-18T08:15:00.000Z'}]"
HeartRate,2024-10-18T08:19:00.000Z,2024-10-18T08:19:00.000Z,"[{'beatsPerMinute': 68, 'time': '2024-10-18T08:19:00.000Z'}]"
HeartRate,2024-10-18T08:24:00.000Z,2024-10-18T08:24:00.000Z,"[{'beatsPerMinute': 60, 'time': '2024-10-18T08:24:00.000Z'}]"
HeartRate,2024-10-18T08:29:00.000Z,2024-10-18T08:29:00.000Z,"[{'beatsPerMinute': 81, 'time': '2024-10-18T08:29:00.000Z'}]"
HeartRate,2024-10-18T08:35:00.000Z,2024-10-18T08:35:00.000Z,"[{'beatsPerMinute': 77, 'time': '2024-10-18T08:35:00.000Z'}]"
HeartRate,2024-10-18T08:40:00.000Z,2024-10-18T08:40:00.000Z,"[{'beatsPerMinute': 81, 'time': '2024-10-18T08:40:00.000Z'}]"
HeartRate,2024-10-18T08:45:00.000Z,2024-10-18T08:45:00.000Z,"[{'beatsPerMinute': 88, 'time': '2024-10-18T08:45:00.000Z'}]"
HeartRate,2024-10-18T08:51:00.000Z,2024-10-18T08:51:00.000Z,"[{'beatsPerMinute': 104, 'time': '2024-10-18T08:51:00.000Z'}]"
HeartRate,2024-10-18T08:52:00.000Z,2024-10-18T08:52:00.000Z,"[{'beatsPerMinute': 68, 'time': '2024-10-18T08:52:00.000Z'}]"
HeartRate,2024-10-18T08:56:00.000Z,2024-10-18T08:56:00.000Z,"[{'beatsPerMinute': 73, 'time': '2024-10-18T08:56:00.000Z'}]"
HeartRate,2024-10-18T09:01:00.000Z,2024-10-18T09:01:00.000Z,"[{'beatsPerMinute': 68, 'time': '2024-10-18T09:01:00.000Z'}]"
HeartRate,2024-10-18T09:06:00.000Z,2024-10-18T09:06:00.000Z,"[{'beatsPerMinute': 66, 'time': '2024-10-18T09:06:00.000Z'}]"
HeartRate,2024-10-18T09:07:00.000Z,2024-10-18T09:07:00.000Z,"[{'beatsPerMinute': 67, 'time': '2024-10-18T09:07:00.000Z'}]"
HeartRate,2024-10-18T09:12:00.000Z,2024-10-18T09:12:00.000Z,"[{'beatsPerMinute': 68, 'time': '2024-10-18T09:12:00.000Z'}]"
HeartRate,2024-10-18T09:17:00.000Z,2024-10-18T09:17:00.000Z,"[{'beatsPerMinute': 63, 'time': '2024-10-18T09:17:00.000Z'}]"
HeartRate,2024-10-18T09:22:00.000Z,2024-10-18T09:22:00.000Z,"[{'beatsPerMinute': 92, 'time': '2024-10-18T09:22:00.000Z'}]"
HeartRate,2024-10-18T10:24:00.000Z,2024-10-18T10:24:00.000Z,"[{'beatsPerMinute': 66, 'time': '2024-10-18T10:24:00.000Z'}]"
Steps,2024-10-18T01:56:10.000Z,2024-10-18T02:36:08.000Z,205
Steps,2024-10-18T02:36:08.000Z,2024-10-18T07:24:32.000Z,1477
Steps,2024-10-18T09:33:43.000Z,2024-10-18T09:36:25.000Z,81
Steps,2024-10-18T09:36:25.000Z,2024-10-18T09:37:48.000Z,115
Steps,2024-10-18T09:37:48.000Z,2024-10-18T09:38:07.000Z,34
Steps,2024-10-18T09:38:07.000Z,2024-10-18T09:39:10.000Z,89
Steps,2024-10-18T09:39:10.000Z,2024-10-18T09:39:17.000Z,11
Steps,2024-10-18T09:39:17.000Z,2024-10-18T09:39:53.000Z,67
Steps,2024-10-18T09:39:53.000Z,2024-10-18T09:40:55.000Z,84
Steps,2024-10-18T09:40:55.000Z,2024-10-18T09:41:27.000Z,55
Steps,2024-10-18T09:41:27.000Z,2024-10-18T09:41:53.000Z,47
Steps,2024-10-18T09:41:53.000Z,2024-10-18T09:43:12.000Z,128
Steps,2024-10-18T09:43:12.000Z,2024-10-18T09:44:12.000Z,7
Steps,2024-10-18T09:44:12.000Z,2024-10-18T09:44:13.000Z,2
Steps,2024-10-18T09:48:24.000Z,2024-10-18T09:49:24.000Z,22
Steps,2024-10-18T09:49:25.000Z,2024-10-18T09:50:53.000Z,44
Steps,2024-10-18T09:50:53.000Z,2024-10-18T09:51:03.000Z,18
Steps,2024-10-18T09:51:03.000Z,2024-10-18T09:51:45.000Z,54
Steps,2024-10-18T09:51:45.000Z,2024-10-18T09:53:26.000Z,69
Steps,2024-10-18T09:53:32.000Z,2024-10-18T09:54:32.000Z,17
Steps,2024-10-18T09:54:32.000Z,2024-10-18T09:54:39.000Z,13
Steps,2024-10-18T09:54:39.000Z,2024-10-18T09:55:32.000Z,43
Steps,2024-10-18T09:55:32.000Z,2024-10-18T09:55:41.000Z,16
Steps,2024-10-18T09:55:41.000Z,2024-10-18T09:56:27.000Z,29
Steps,2024-10-18T09:56:27.000Z,2024-10-18T09:57:16.000Z,10
Steps,2024-10-18T09:57:16.000Z,2024-10-18T09:58:25.000Z,55
Steps,2024-10-18T09:58:25.000Z,2024-10-18T09:59:23.000Z,95
Steps,2024-10-18T09:59:23.000Z,2024-10-18T09:59:45.000Z,38
Steps,2024-10-18T09:59:45.000Z,2024-10-18T10:00:24.000Z,64
Steps,2024-10-18T10:00:24.000Z,2024-10-18T10:00:50.000Z,46
Steps,2024-10-18T10:00:50.000Z,2024-10-18T10:02:25.000Z,156
Steps,2024-10-18T10:02:25.000Z,2024-10-18T10:02:55.000Z,42
Steps,2024-10-18T10:02:55.000Z,2024-10-18T10:02:56.000Z,3
Steps,2024-10-18T10:02:56.000Z,2024-10-18T10:03:25.000Z,57
Steps,2024-10-18T10:03:25.000Z,2024-10-18T10:04:07.000Z,29
Steps,2024-10-18T10:09:14.000Z,2024-10-18T10:10:14.000Z,22
Steps,2024-10-18T10:30:34.000Z,2024-10-18T10:31:34.000Z,26
Steps,2024-10-18T10:31:34.000Z,2024-10-18T10:32:35.000Z,70
Steps,2024-10-18T10:32:35.000Z,2024-10-18T10:33:49.000Z,110
Steps,2024-10-18T10:33:49.000Z,2024-10-18T10:33:59.000Z,18
Steps,2024-10-18T10:33:59.000Z,2024-10-18T10:35:26.000Z,91
Steps,2024-10-18T10:35:26.000Z,2024-10-18T10:36:27.000Z,49
Steps,2024-10-18T10:36:27.000Z,2024-10-18T10:37:14.000Z,44
Steps,2024-10-18T10:37:14.000Z,2024-10-18T10:37:36.000Z,40
Steps,2024-10-18T10:37:36.000Z,2024-10-18T10:38:09.000Z,62
Steps,2024-10-18T10:38:09.000Z,2024-10-18T10:39:06.000Z,104
Steps,2024-10-18T10:39:06.000Z,2024-10-18T10:39:31.000Z,48
Steps,2024-10-18T10:39:31.000Z,2024-10-18T10:40:27.000Z,103
Steps,2024-10-18T10:40:27.000Z,2024-10-18T10:40:47.000Z,28
Steps,2024-10-18T10:40:47.000Z,2024-10-18T10:41:28.000Z,68
Steps,2024-10-18T10:41:28.000Z,2024-10-18T10:42:10.000Z,70
Steps,2024-10-18T10:42:10.000Z,2024-10-18T10:42:13.000Z,6
Steps,2024-10-18T10:42:13.000Z,2024-10-18T10:43:02.000Z,88
Steps,2024-10-18T10:43:02.000Z,2024-10-18T10:43:24.000Z,31
Steps,2024-10-18T10:43:24.000Z,2024-10-18T10:43:49.000Z,18
Steps,2024-10-18T10:43:49.000Z,2024-10-18T10:44:07.000Z,17
